ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
493,WISE 1814+3412,,273.572083,34.206944,18.238138866666667,,,0.0
290,AM Her,,274.055417,49.868056,18.27036113333333,,,0.0
307,MCW 656,,274.651667,-13.800556,18.310111133333333,,,0.0
362,EGO G16.59-0.05,,275.288333,-14.529167,18.352555533333334,,,0.0
297,4U 1820-303,,275.919167,-30.361389,18.394611133333335,,,0.0
570,UY Sct,,276.902083,-12.466389,18.460138866666668,,,0.0
25,5261 Eureka,5261 Eureka (1990 MB),277.6935,-22.17272,18.5129,,,1.0
701,45 Dra,,278.14375,57.045556,18.542916666666667,,,0.0
811,PSR B1829-10,,278.170417,-10.359167,18.544694466666666,,,0.0
742,TGSSADR J183304.4-384046,,278.26875,-38.679444,18.55125,,,0.0
377,SWIFT J1834.9-0846 nebula,,278.72,-8.761389,18.581333333333337,,,0.0
675,17P/Holmes,5477 Holmes (1989 UH2),278.78888,-31.21261,18.585925333333332,,,1.0
156,Vega,,279.234583,38.783611,18.615638866666664,,,0.0
217,delta Sct,,280.568333,-9.0525,18.704555533333334,,,0.0
352,G028.37+00.07,,280.710833,-4.058333,18.714055533333333,,,0.0
373,Kes 75,,281.60625,-2.987222,18.77375,,,0.0
